,Unnamed: 0,Unnamed: 0.1,n_genes,percent_mito,n_counts,scale_SLC17A7,scale_MGP,scale_GAD1,scale_NOV,scale_RASGRF2,scale_RORB,scale_CUX2,scale_PLCXD2,scale_SULF2,scale_CTGF,scale_PCP4,scale_SEMA3E,scale_NPY,scale_SST,scale_PVALB,scale_VIP,scale_CALB2,scale_CCK,scale_RELN,scale_FOS,scale_EGR1,scale_PROK2,scale_EGR2,scale_BDNF,scale_GJA1,scale_CTSS,scale_MBP,scale_FLT1,leiden_pca,leiden_scvi,x,y,z
30183,30183,30877,28,0,83281,0.16206576,0.005028331,0.006751923000000001,0.0029378029999999997,0.019030102,0.014697721,0.110175274,0.030388921,0.023928177999999998,0.006673342,0.009199778,0.006805696,0.006276667,0.000290399,0.002945298,0.003122416,0.011906222,0.09225189999999998,0.006049034,0.13369514,0.17532307,0.01982006,0.041553456,0.016644273,0.027276581,0.021881865,0.03943696,0.003843821,4,12,88.84200000000001,58.5,26.46
30185,30185,30879,28,0,68171,0.13336270000000003,0.006546553,0.039611485,0.004203623,0.018150393,0.011986011999999999,0.09256254,0.035853814,0.023817252,0.011685063,0.016935546,0.015531028999999998,0.0196979,0.10599651,0.027028668999999998,0.010628288999999999,0.012523178999999999,0.0723671,0.004322975,0.051465206,0.1424103,0.016980708,0.017111843,0.004058954,0.023536183,0.023812415,0.05316316,0.004650573,4,11,89.46600000000001,35.724000000000004,27.405
30189,30189,30883,28,0,59323,0.086374685,0.0070537230000000005,0.0820461,0.005200964000000001,0.014235837,0.011725972,0.028928142,0.031945333,0.022039592,0.010857832,0.019432966,0.0062333480000000005,0.024591558,0.05939904,0.082110986,0.016425341,0.009190661999999999,0.0765952,0.010673618000000001,0.09079175,0.096683785,0.020901248,0.024826135,0.01178444,0.02758048,0.03200898,0.08227256,0.008089715,10,5,90.55799999999999,101.01,26.46
30190,30190,30884,28,0,36837,0.17073233,0.010325664,0.1073647,0.029054512999999997,0.021100355,0.009794477,0.058350604,0.039552055,0.02701678,0.011236319,0.03375614,0.074978255,0.019522015,0.008189766,0.08348776,0.005935976,0.012174754,0.06855762,0.004247253,0.030427847,0.0773797,0.0056861,0.003625818,0.001544866,0.030814249,0.013736335,0.038266666,0.0031410559999999997,7,5,90.48,94.302,28.98
30192,30192,30886,28,0,76609,0.1443709,0.007581505,0.06844808,0.007522600999999999,0.019803274,0.010578582,0.049710147,0.027618965,0.030422589,0.014535103999999998,0.030205067000000002,0.01238634,0.013757348,0.000471816,0.004593034,0.0699332,0.015005158000000001,0.07577529,0.004487082,0.046302788,0.10199722,0.014236791,0.013276641,0.0043425320000000005,0.069502495,0.028622355,0.10757749,0.0069355530000000006,4,12,91.182,46.722,28.98
30194,30194,30888,28,0,91699,0.12206817,0.010989383,0.10616578,0.009299008000000001,0.014290723,0.009398473000000001,0.033166892999999996,0.031639077,0.021844426,0.011316945,0.035823938,0.008267575,0.011462102,0.001039859,0.01853605,0.08445032,0.010505173999999999,0.07660033599999999,0.00358571,0.082561895,0.10856726,0.015312331,0.020770464,0.009163889,0.022750031,0.029159565,0.08366665,0.007597962,4,12,91.338,27.3,26.46
30202,30202,30896,28,0,86569,0.06352301,0.008059614,0.07057518,0.003986117,0.016261311,0.008921281,0.044898562,0.01755852,0.020317936,0.007804473,0.00992777,0.005055607,0.04357513,0.26633322,0.027344022000000003,0.018851511,0.012156355,0.046927712999999996,0.0055666990000000005,0.05621759999999999,0.089694835,0.025743017000000003,0.018735763,0.008370305,0.030346643,0.022028837000000002,0.047166817,0.004052158,10,11,95.16,65.676,28.35
30204,30204,30898,28,0,58369,0.15335286,0.00524374,0.019107588000000002,0.002344611,0.018591885,0.012711661,0.078916505,0.049502473,0.025324398999999997,0.009417131,0.01843651,0.011656699,0.012761878,0.001465529,0.014850816000000001,0.023439202000000003,0.013043685,0.07111009,0.003135629,0.098447666,0.18608464,0.017174032,0.028625924,0.011141173999999998,0.029146994,0.021291717999999998,0.059078924000000005,0.004596025,4,12,95.55,114.58200000000001,27.405
30207,30207,30901,28,0,65269,0.0984439,0.009937319,0.11911049,0.09064066400000001,0.015721893,0.008998780999999999,0.06843134,0.020808265,0.02183702,0.010142301,0.015057817,0.007777526,0.022337355,0.036573756,0.11544883,0.028695494,0.011441102,0.06748833,0.005695934000000001,0.041022964,0.07631008,0.012065312,0.011889081999999999,0.00295944,0.02131799,0.021548337999999997,0.034880914,0.0034177770000000003,4,5,96.79799999999999,77.844,28.665
30208,30208,30902,28,0,40154,0.053780275999999995,0.004467738,0.0077593340000000005,0.003334158,0.021205212999999997,0.010135395,0.043997943,0.013608044,0.038363572,0.030965501,0.010024662,0.006891015,0.016991574,0.0006038419999999999,0.0057129469999999995,0.010644188,0.012967555,0.026795011,0.0035632190000000003,0.022110611000000002,0.042045463,0.010616734,0.008789585,0.002912342,0.10169955,0.05354016,0.26274514,0.17372921,8,12,97.5,14.04,28.035
30209,30209,30903,28,0,52805,0.076453425,0.012340566,0.1709455,0.008709965,0.014931515,0.011480366,0.06294720599999999,0.019738883,0.022896978999999998,0.014886215,0.010133082,0.009160568000000001,0.026356215,0.013788907,0.13702914,0.008546079,0.008801799,0.07274066,0.00511606,0.040547825,0.07846497,0.015351151,0.018287193,0.004250999,0.026754316,0.034698606,0.063748345,0.010893443999999999,7,5,97.89,85.956,27.09
30211,30211,30905,28,0,72098,0.18521306,0.007107575,0.03823465,0.010596198999999999,0.024169821,0.012574603,0.12847193,0.020823378,0.031833977,0.01402771,0.009585038,0.013517121000000002,0.023147202999999998,0.002387634,0.023996629,0.024544084,0.015288616000000001,0.10429301,0.004056331,0.04272584,0.13718411,0.012184924,0.016107935,0.003058682,0.035915643,0.02718224,0.027052905,0.004719173,4,12,98.67,37.284,27.72
30218,30218,30912,28,0,96636,0.19764455,0.005494141,0.004483321,0.007757553,0.02412729,0.01257748,0.15375295,0.014584911,0.031705234,0.011871747,0.007742459,0.005933239,0.007719136999999999,0.000274954,0.002066133,0.005752859,0.013962905,0.11178342,0.004369141,0.065003276,0.15083835,0.015018362,0.025406067999999997,0.004748957,0.040157788,0.03706764,0.025116196,0.013039975,0,12,100.464,47.891999999999996,26.46
30224,30224,30918,28,0,57975,0.2541855,0.006193576,0.003057641,0.0027157559999999997,0.031749714,0.014483603999999999,0.12041817,0.035648912000000005,0.029724589,0.0037034859999999998,0.009265815,0.003224373,0.0069033440000000005,0.000409886,0.004791619,0.004185708,0.016722446000000002,0.09718407,0.003917079,0.09252333,0.1515385,0.010360503,0.015748115,0.004383202,0.026407486,0.012694401999999999,0.03517916,0.002680024,0,12,101.166,97.89,28.665
