,Unnamed: 0,Unnamed: 0.1,n_genes,percent_mito,n_counts,scale_SLC17A7,scale_MGP,scale_GAD1,scale_NOV,scale_RASGRF2,scale_RORB,scale_CUX2,scale_PLCXD2,scale_SULF2,scale_CTGF,scale_PCP4,scale_SEMA3E,scale_NPY,scale_SST,scale_PVALB,scale_VIP,scale_CALB2,scale_CCK,scale_RELN,scale_FOS,scale_EGR1,scale_PROK2,scale_EGR2,scale_BDNF,scale_GJA1,scale_CTSS,scale_MBP,scale_FLT1,leiden_pca,leiden_scvi,x,y,z
32002,32002,32733,28,0,95054,0.033036835,0.00583339,0.027874443999999998,0.003935734000000001,0.026291545,0.012301059,0.019544847,0.006188096,0.035284147,0.103660226,0.005598014,0.054970272,0.037739302999999995,0.011034859,0.03257551,0.00655204,0.012033666,0.028909617999999998,0.003860292,0.04103235,0.03925657,0.02818283,0.024006922000000003,0.009975596,0.30828637,0.052062165,0.019387633999999997,0.01058569,8,6,94.69200000000001,6.5520000000000005,28.035
32015,32015,32747,28,0,50171,0.031501233999999996,0.004677235,0.010643993999999999,0.003252889,0.023616202000000003,0.012013286000000001,0.018859051,0.005111356,0.034364734,0.21442464,0.006561618000000001,0.025486559,0.028279642,0.003188303,0.018791595,0.006206268000000001,0.011382712,0.035818577000000004,0.004144515,0.024484511,0.034918323,0.026030337,0.024278572000000002,0.0059654190000000005,0.23983605,0.04923086,0.022215756,0.07471575,8,6,100.854,17.55,28.35
32019,32019,32752,28,0,82279,0.034266000000000005,0.006867436,0.03345152,0.00747544,0.02893568,0.013440803000000001,0.014964921,0.005573629,0.03980364,0.09132292,0.007178141999999999,0.01162413,0.03368271,0.003743846,0.019548263,0.008304081999999999,0.01441018,0.027127916000000002,0.004774378,0.017739754,0.030228067,0.023338424,0.01641706,0.004406805,0.36554223,0.046910155999999995,0.06762944,0.02129243,8,6,104.44200000000001,23.166,28.035
32020,32020,32753,28,0,80732,0.03570775,0.005582281,0.018599007,0.005520465,0.026488086,0.013204582,0.017487004,0.006799539,0.040088017000000004,0.091436826,0.007504758,0.009292894,0.030936277,0.0054828609999999995,0.022129092000000003,0.006313467,0.013099587,0.027727354,0.004279712,0.016230974,0.030134117000000002,0.01837213,0.013930798999999999,0.003695354,0.31264812,0.04876759,0.11376448,0.054776907,8,6,104.75399999999999,23.634,28.035
32024,32024,32757,28,0,72974,0.055758428,0.009724497,0.038045794,0.046384864000000005,0.03601574,0.010716277,0.02818926,0.007513505,0.04256358,0.041639127000000005,0.005067089,0.004468004,0.024965007,0.00096248,0.004942853,0.000678059,0.020765783,0.020526158,0.0058795919999999995,0.01395641,0.028684622000000003,0.008172354,0.003265396,0.00209702,0.3688739,0.045061252999999996,0.08520243,0.039880547999999995,8,6,106.86,33.54,28.035
32032,32032,32765,28,0,55132,0.048987187,0.005056215,0.009183964000000001,0.044813022,0.027063292000000003,0.013558731000000001,0.03263023,0.006789842,0.042485747000000004,0.13580675,0.006584776,0.01218454,0.029672722999999998,0.005471554,0.01769449,0.0018811879999999998,0.013797728,0.03451772,0.004560046,0.011348603,0.034059115,0.011484200000000002,0.006806097,0.002007513,0.20723107,0.051154554000000005,0.04917524,0.13399385,8,6,112.008,38.844,28.035
32033,32033,32766,28,0,59430,0.17143407,0.00581229,0.006711288,0.003992891,0.035359364,0.015195412,0.10031535,0.018480241,0.04094586,0.012993000000000001,0.007891044,0.0049437759999999996,0.033997472,0.010372209,0.020120822,0.005661129,0.017560773999999998,0.08663701,0.005653179,0.03744174,0.11204418,0.011800669,0.010324119,0.00253726,0.13675520000000002,0.029098261,0.05070191,0.005219484,0,6,112.32,88.84200000000001,28.035
32039,32039,32772,28,0,113409,0.08344002,0.008088904000000001,0.09008944,0.0049090620000000005,0.013633527,0.013139233,0.06635332,0.023297118,0.01864334,0.009797185,0.006810627,0.006474191,0.017470967,0.011027698999999998,0.09397368,0.012338106000000001,0.00815952,0.081892915,0.004340408,0.14293888,0.11313516,0.018114598,0.03479049,0.0245731,0.018196415,0.028089377999999998,0.03784379,0.008438898,7,5,116.376,118.87200000000001,28.035
32040,32040,32773,28,0,56590,0.033652167999999996,0.005401839,0.007664185,0.052216875999999995,0.024803635,0.013270182,0.033687245,0.005537372,0.038241137,0.11187551,0.006001794,0.007998386,0.020601613,0.000850203,0.005921803000000001,0.0006549580000000001,0.013600124,0.030009786,0.004921267,0.009263269000000001,0.01909855,0.006741448000000001,0.0026843709999999996,0.0014378420000000002,0.15220137,0.05762098,0.10568754,0.22835454,8,6,116.454,48.983999999999995,28.665
32041,32041,32774,28,0,50753,0.07882975,0.011076343999999998,0.0759459,0.010945525,0.038650832999999996,0.016912425,0.06468367,0.009740124000000001,0.04228555,0.102133475,0.008330602,0.012608193,0.020089928,0.000833093,0.005325548,0.0017213410000000001,0.02091794,0.05240355,0.009523518,0.024313482,0.021852702,0.00514174,0.002181281,0.001256708,0.22864923,0.045289062000000005,0.055380612999999995,0.0329779,8,6,116.766,50.31,28.98
32042,32042,32775,28,0,84914,0.038361944,0.005774218,0.007341477,0.004808914,0.03368189,0.017932113,0.024193909,0.005870001999999999,0.042145922999999995,0.10258291,0.008561427,0.009287784,0.01957497,0.001054434,0.0039468590000000005,0.00036036099999999996,0.015546012,0.027824927000000003,0.015350794,0.009477055,0.024967505,0.011284201,0.006292606,0.00218724,0.349742,0.05153029,0.11558962,0.044728595999999995,8,6,118.24799999999999,55.302,28.35
32046,32046,32779,28,0,85598,0.16013029999999998,0.004878853,0.0072052209999999995,0.036186755,0.021519301,0.015969403,0.12621251,0.018723618,0.032385018,0.02134016,0.008384333,0.0361195,0.021633755,0.003446665,0.020143062,0.005758991999999999,0.012667862,0.12063877,0.004783489,0.035641003,0.13422334,0.016530918000000002,0.020558229,0.003106836,0.035570912,0.0354921,0.03090933,0.009839759,0,2,120.27600000000001,90.402,28.035
32047,32047,32780,28,0,102696,0.11030649,0.018147942,0.15563837,0.041380107,0.016509896,0.008741937,0.07769972,0.016320312,0.020509426,0.005516964,0.00654123,0.0034750609999999998,0.024760703,0.004108791,0.07279845,0.006560604,0.011089988,0.07870784,0.004373037,0.09564605,0.12244680000000001,0.014765387,0.028917456,0.009818285,0.019394333,0.011025318000000001,0.012824236000000001,0.001975264,0,5,120.198,96.33,29.295
